Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms,PDB Structures,n_structures
B2M,beta-2-microglobulin,567.0,15:44711477-44718877,1,Yes,15q21.1,yes,,"DLBCL, melanoma, colorectal adenocarcinoma",,,"E, L",Rec,TSG,"Mis, N, F",,yes,Immunodeficiency 43,"CCDS10113.1,ENSG00000166710.17,NM_004048.2,NP_004039,P61769","['1A1M', '1A1N', '1A1O', '1A6Z', '1A9B', '1A9E', '1AGB', '1AGC', '1AGD', '1AGE', '1AGF', '1AKJ', '1AO7', '1B0G', '1B0R', '1BD2', '1C16', '1CE6', '1CG9', '1DE4', '1DUY', '1DUZ', '1E27', '1E28', '1EEY', '1EEZ', '1EFX', '1EXU', '1GZP', '1GZQ', '1HHG', '1HHH', '1HHI', '1HHJ', '1HHK', '1HLA', '1HSA', '1HSB', '1I1F', '1I1Y', '1I4F', '1I7R', '1I7T', '1I7U', '1IM3', '1IM9', '1JF1', '1JGD', '1JGE', '1JHT', '1JNJ', '1K5N', '1KPR', '1KTL', '1LDS', '1LP9', '1M05', '1M6O', '1MHE', '1MI5', '1N2R', '1OF2', '1OGA', '1OGT', '1ONQ', '1P7Q', '1PY4', '1Q94', '1QEW', '1QLF', '1QQD', '1QR1', '1QRN', '1QSE', '1QSF', '1QVO', '1R3H', '1S8D', '1S9W', '1S9X', '1S9Y', '1SYS', '1SYV', '1T1W', '1T1X', '1T1Y', '1T1Z', '1T20', '1T21', '1T22', '1TMC', '1TVB', '1TVH', '1UQS', '1UXS', '1UXW', '1VGK', '1W0V', '1W0W', '1W72', '1X7Q', '1XH3', '1XR8', '1XR9', '1XZ0', '1YDP', '1YPZ', '1ZHK', '1ZHL', '1ZS8', '1ZSD', '1ZT4', '1ZVS', '2A83', '2AK4', '2AV1', '2AV7', '2AXF', '2AXG', '2BCK', '2BNQ', '2BNR', '2BSR', '2BSS', '2BST', '2BVO', '2BVP', '2BVQ', '2C7U', '2CII', '2CIK', '2CLR', '2D31', '2D4D', '2D4F', '2DYP', '2E8D', '2ESV', '2F53', '2F54', '2F74', '2F8O', '2FYY', '2FZ3', '2GIT', '2GJ6', '2GT9', '2GTW', '2GTZ', '2GUO', '2H26', '2H6P', '2HJK', '2HJL', '2HLA', '2HN7', '2J8U', '2JCC', '2NW3', '2NX5', '2P5E', '2P5W', '2PO6', '2PYE', '2RFX', '2UWE', '2V2W', '2V2X', '2VB5', '2VLJ', '2VLK', '2VLL', '2VLR', '2X4N', '2X4O', '2X4P', '2X4Q', '2X4R', '2X4S', '2X4T', '2X4U', '2X70', '2X89', '2XKS', '2XKU', '2XPG', '2YPK', '2YPL', '2YXF', '2Z9T', '3AM8', '3B3I', '3B6S', '3BGM', '3BH8', '3BH9', '3BHB', '3BO8', '3BP4', '3BP7', '3BVN', '3BW9', '3BWA', '3BXN', '3BZE', '3BZF', '3C9N', '3CDG', '3CII', '3CIQ', '3CZF', '3D18', '3D25', '3D2U', '3D39', '3D3V', '3DBX', '3DHJ', '3DHM', '3DTX', '3DX6', '3DX7', '3DX8', '3DXA', '3EKC', '3FFC', '3FQN', '3FQR', '3FQT', '3FQU', '3FQW', '3FQX', '3FT2', '3FT3', '3FT4', '3GIV', '3GJF', '3GSN', '3GSO', '3GSQ', '3GSR', '3GSU', '3GSV', '3GSW', '3GSX', '3H7B', '3H9H', '3H9S', '3HAE', '3HCV', '3HG1', '3HLA', '3HPJ', '3HUJ', '3I6G', '3I6K', '3I6L', '3IB4', '3IXA', '3JTS', '3KLA', '3KPL', '3KPM', '3KPN', '3KPO', '3KPP', '3KPQ', '3KPR', '3KPS', '3KWW', '3KXF', '3KYN', '3KYO', '3L3D', '3L3G', '3L3I', '3L3J', '3L3K', '3LKN', '3LKO', '3LKP', '3LKQ', '3LKR', '3LKS', '3LN4', '3LN5', '3LOW', '3LOZ', '3LV3', '3M17', '3M1B', '3MGO', '3MGT', '3MR9', '3MRB', '3MRC', '3MRD', '3MRE', '3MRF', '3MRG', '3MRH', '3MRI', '3MRJ', '3MRK', '3MRL', '3MRM', '3MRN', '3MRO', '3MRP', '3MRQ', '3MRR', '3MV7', '3MV8', '3MV9', '3MYJ', '3MYZ', '3MZT', '3NA4', '3NFN', '3O3A', '3O3B', '3O3D', '3O3E', '3O4L', '3OV6', '3OX8', '3OXR', '3OXS', '3PWJ', '3PWL', '3PWN', '3PWP', '3QDA', '3QDG', '3QDJ', '3QDM', '3QEQ', '3QFD', '3QFJ', '3QZW', '3REW', '3RL1', '3RL2', '3RWJ', '3S6C', '3SDX', '3SJV', '3SKM', '3SKO', '3SPV', '3T8X', '3TID', '3TIE', '3TLR', '3TM6', '3TO2', '3TZV', '3U0P', '3UPR', '3UTQ', '3UTS', '3UTT', '3V5D', '3V5H', '3V5K', '3VCL', '3VFM', '3VFN', '3VFO', '3VFP', '3VFR', '3VFS', '3VFT', '3VFU', '3VFV', '3VFW', '3VH8', '3VRI', '3VRJ', '3VWJ', '3VWK', '3VXM', '3VXN', '3VXO', '3VXP', '3VXR', '3VXS', '3VXU', '3W0W', '3W39', '3WL9', '3WLB', '3WUW', '3X11', '3X12', '3X13', '3X14', '4E0K', '4E0L', '4E5X', '4EN3', '4EUP', '4F7M', '4F7P', '4F7T', '4FTV', '4FXL', '4G8G', '4G8I', '4G9D', '4G9F', '4GKN', '4GKS', '4GUP', '4HKJ', '4HWZ', '4HX1', '4I48', '4I4W', '4JFD', '4JFE', '4JFF', '4JFO', '4JFP', '4JFQ', '4JQV', '4JQX', '4JRX', '4JRY', '4K71', '4K7F', '4KDT', '4L29', '4L3C', '4L3E', '4L4T', '4L4V', '4LCW', '4LCY', '4LHU', '4LNR', '4M8V', '4MJ5', '4MJ6', '4MJI', '4MNQ', '4N0F', '4N0U', '4N8V', '4NNX', '4NNY', '4NO0', '4NO2', '4NO3', '4NO5', '4NQC', '4NQD', '4NQE', '4NQV', '4NQX', '4NT6', '4O2C', '4O2E', '4O2F', '4ONO', '4PJ5', '4PJ7', '4PJ8', '4PJ9', '4PJA', '4PJB', '4PJC', '4PJD', '4PJE', '4PJF', '4PJG', '4PJH', '4PJI', '4PJX', '4PR5', '4PRA', '4PRB', '4PRD', '4PRE', '4PRH', '4PRI', '4PRN', '4PRP', '4QOK', '4QRP', '4QRQ', '4QRR', '4QRS', '4QRT', '4QRU', '4R9H', '4RA3', '4RAH', '4RMQ', '4RMR', '4RMS', '4RMT', '4RMU', '4RMV', '4RMW', '4U1H', '4U1I', '4U1J', '4U1K', '4U1L', '4U1M', '4U1N', '4U1S', '4U6X', '4U6Y', '4UQ2', '4UQ3', '4WC8', '4WDI', '4WJ5', '4WO4', '4WU5', '4WU7', '4WUU', '4WW2', '4WWK', '4X0S', '4X6C', '4X6D', '4X6E', '4X6F', '4XXC', '4Z76', '4Z77', '4Z78', '5B38', '5B39', '5BJT', '5BRZ', '5BS0', '5BXF', '5C07', '5C08', '5C09', '5C0A', '5C0B', '5C0C', '5C0D', '5C0E', '5C0F', '5C0G', '5C0I', '5C0J', '5C9J', '5CFH', '5CKA', '5CKG', '5CS7', '5CSB', '5CSG', '5D2L', '5D2N', '5D5M', '5D7I', '5D7J', '5D7L', '5D9S', '5DDH', '5DEF', '5DEG', '5E00', '5E6I', '5E9D', '5ENW', '5EO0', '5EO1', '5EOT', '5EU3', '5EU4', '5EU5', '5EU6', '5EUO', '5F1I', '5F7D', '5F9J', '5FA3', '5FA4', '5FDW', '5GR7', '5GRD', '5GRG', '5GSB', '5GSD', '5GSR', '5GSV', '5GSX', '5HGA', '5HGB', '5HGD', '5HGH', '5HHM', '5HHN', '5HHO', '5HHP', '5HHQ', '5HYJ', '5IB1', '5IB2', '5IB3', '5IB4', '5IB5', '5IEH', '5IEK', '5IM7', '5INC', '5IND', '5IRO', '5ISZ', '5IUE', '5J1A', '5JHD', '5JZI', '5KNM', '5L2J', '5L2K', '5MEN', '5MEO', '5MEP', '5MEQ', '5MER', '5N1Y', '5N6B', '5NHT', '5NME', '5NMF', '5NMG', '5NMH', '5NMK', '5NQ1', '5NQ3', '5NQK', '5OPI', '5SWQ', '5T6W', '5T6X', '5T6Y', '5T6Z', '5T70', '5TEZ', '5TRZ', '5TS1', '5TXS', '5U16', '5U17', '5U1R', '5U2V', '5U6Q', '5U72', '5U98', '5V5L', '5V5M', '5VGD', '5VGE', '5VUD', '5VUE', '5VUF', '5VVP', '5VWD', '5VWF', '5VWH', '5VWJ', '5VZ5', '5W1V', '5W1W', '5W67', '5W69', '5W6A', '5WER', '5WHK', '5WJL', '5WJN', '5WKE', '5WKF', '5WKG', '5WKH', '5WKI', '5WL1', '5WMN', '5WMO', '5WMP', '5WMQ', '5WMR', '5WSH', '5WWI', '5WWJ', '5WWU', '5WXC', '5WXD', '5XOS', '5XOT', '5XOV', '5YXN', '5YXU', '6AEE', '6AM5', '6AMT', '6AMU', '6APN', '6AT5', '6AT9', '6AVF', '6AVG', '6BJ2', '6BJ3', '6BJ8', '6BXP', '6BXQ', '6C09', '6C15', '6C97', '6C98', '6C99', '6CUG', '6D29', '6D2B', '6D2R', '6D2T', '6D64', '6D78', '6DKP', '6EI2', '6ENY', '6EQA', '6EQB', '6EWA', '6EWC', '6EWO', '6FGB', '6G3J', '6G3K', '6GGM', '6GH1', '6GH4', '6GHN', '6GK3', '6GL1', '6ID4', '6IEX', '6ILM', '6J1V', '6J1W', '6J29', '6J2A', '6J2E', '6J2G', '6J2H', '6J2I', '6J2J', '6JOZ', '6JP3', '6JTN', '6JTO', '6JTP', '6K60', '6K7T', '6LA6', '6LA7', '6M1B', '6M24', '6M2J', '6M2K', '6MPP', '6MT3', '6MT4', '6MT5', '6MT6', '6MTL', '6MTM', '6MWR', '6NCA', '6NHA', '6NPR', '6NUX', '6O4Y', '6O4Z', '6O51', '6O53', '6O9B', '6O9C', '6OPD', '6P23', '6P27', '6P2C', '6P2F', '6P2S', '6P64', '6PA1', '6PAG', '6PBH', '6PTB', '6PTE', '6PUC', '6PUD', '6PUE', '6PUF', '6PUG', '6PUH', '6PUI', '6PUJ', '6PUK', '6PUL', '6PUM', '6PVC', '6PVD', '6PYJ', '6PYL', '6PYV', '6PYW', '6PZ5', '6Q3K', '6Q3S', '6QIO', '6QIP', '6R2L', '6RP9', '6RPA', '6RPB', '6RSY', '6SS7', '6SS8', '6SS9', '6SSA', '6TDO', '6TDP', '6TDQ', '6TDR', '6TDS', '6TMO', '6TRN', '6TRO', '6UJ7', '6UJ8', '6UJ9', '6UJO', '6UJQ', '6UK2', '6UK4', '6ULI', '6ULK', '6ULN', '6ULR', '6UON', '6UZ1', '6UZM', '6UZN', '6UZO', '6UZP', '6UZQ', '6UZS', '6V2O', '6V2P', '6V2Q', '6V3J', '6V7Y', '6V7Z', '6V80', '6VB0', '6VB1', '6VB2', '6VB3', '6VB4', '6VB5', '6VB6', '6VB7', '6VIU', '6VM7', '6VM8', '6VM9', '6VMA', '6VMC', '6VMX', '6VPZ', '6VQ2', '6VQD', '6VQE', '6VQO', '6VQY', '6VQZ', '6VR1', '6VR5', '6VRM', '6VRN', '6W51', '6W9U', '6W9V', '6WNA', '6WOL', '6WZY', '6X00', '6XQA', '6XQP', '6Y26', '6Y27', '6Y28', '6Y29', '6Y2A', '6Y2B', '6Z9V', '6Z9W', '6Z9X', '6ZKW', '6ZKX', '6ZKY', '6ZKZ', '7AFV', '7ALO', '7B5F', '7BBG', '7BH8', '7C9V', '7CIQ', '7CIR', '7CIS', '7DUU', '7DYN', '7DZM', '7DZN', '7EDO', '7EJL', '7EJM', '7EJN', '7EU2', '7F4W', '7JWI', '7JYU', '7JYV', '7JYW', '7JYX', '7K80', '7K81', '7KGO', '7KGP', '7KGQ', '7KGR', '7KGS', '7KGT', '7KOZ', '7KP0', '7KP1', '7L1B', '7L1C', '7L1D', '7LFZ', '7LG0', '7LG2', '7LG3', '7LGD', '7LGT', '7LLI', '7LLJ', '7M8S', '7M8T', '7M8U', '7MJ6', '7MJ7', '7MJ8', '7MJ9', '7MJA', '7MKB', '7MLE', '7MX4', '7MXF', '7MXH', '7N1A', '7N1B', '7N1E', '7N1F', '7N2N', '7N2O', '7N2P', '7N2Q', '7N2R', '7N2S', '7N4K', '7N5C', '7N5P', '7N5Q', '7N6D', '7N6E', '7N9J', '7NA5', '7NDQ', '7NDT', '7NDU', '7NMC', '7NMD', '7NME', '7NMF', '7NMG', '7NMO', '7NMR', '7NMT', '7NMV', '7NMY', '7NN5', '7NUI', '7OW3', '7OW4', '7OW5', '7OW6', '7P3D', '7P3E', '7P49', '7P4B', '7PB2', '7PBC', '7PBE', '7PDW', '7PHR', '7Q15', '7Q98', '7Q99', '7Q9A', '7Q9B', '7QNG', '7QPD', '7QPJ', '7R7V', '7R7W', '7R7X', '7R7Y', '7R80', '7RE7', '7RE8', '7RK7', '7RM4', '7RRG', '7RTD', '7RTR', '7RYM', '7RYN', '7RYO', '7RZD', '7RZJ', '7S79', '7S7D', '7S7E', '7S7F', '7S8A', '7S8E', '7S8F', '7S8Q', '7S8R', '7S8S', '7SA2', '7SH4', '7SIF', '7SIG', '7SIH', '7SIS', '7STF', '7SU9', '7T0L', '7T5M', '7TLT', '7TR4', '7TUC', '7TUD', '7TUE', '7U1R', '7U21', '7UC5', '7UFJ', '7UM2', '7UMG', '7UR1', '7WJ2', '7WJ3', '7WKJ', '7WT3', '7WT4', '7WT5', '7WZZ', '7X00', '7X1B', '7X1C', '7XF3', '7YG3', '7ZT2', '7ZT3', '7ZT4', '7ZT5', '7ZT7', '7ZT8', '7ZT9', '7ZUC', '8A7O', '8A7P', '8A7Q', '8A7T', '8BP6', '8CX4', '8DNT', '8DV3', '8DV4', '8DVG', '8E13', '8E2Z', '8E8I', '8EB2', '8EC5', '8EK5', '8ELG', '8ELH', '8ERX', '8ES8', '8ES9', '8ESA', '8ESH', '8GLE', '8GLF', '8GLG', '8GLH', '8GLI', '8GOM', '8GON', '8GVB', '8GVG', '8GVI', '8I5C', '8I5D', '8I5E', '8ISN', '8SBK', '8SBL', '8SHI']",1136
BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),8314.0,3:52401013-52410350,1,Yes,3p21.1,yes,yes,"uveal melanoma, breast, NSCLC, RCC","mesothelioma, skin and uveal melanoma, kidney cancer",BAP1 tumor predisposition syndrome,E,Rec,TSG,"N, Mis, F, S, O",,,,"CCDS2853.1,ENSG00000163930.9,KIAA0272,NM_004656.3,NP_004647,Q92560,UCHL2,hucep-6","['7VPW', '8H1T', '8SVF']",3
BARD1,BRCA1 associated RING domain 1,580.0,2:214725646-214809704,1,Yes,2q35,yes,yes,breast cancer,"ovarian cancer, breast cancer, endometrioid cancer",,E,,TSG,Mis,,,,"CCDS2397.1,ENSG00000138376.10,NM_000465.3,NP_000456,Q99728","['1JM7', '2NTE', '2R1Z', '3C5R', '3FA2', '6M14', '7E8I', '7JZV', '7LYB', '7LYC', '8GRQ']",11
BAX,"BCL2 associated X, apoptosis regulator",581.0,19:48954929-48961798,1,,19q13.33,yes,,colorectal cancer,,,E,,TSG,"F, Mis",,,,"BCL2L4,CCDS12744.1,ENSG00000087088.19,NM_004324.3,NP_004315,Q07812","['1F16', '2G5B', '2K7W', '2LR1', '3PK1', '3PL7', '4BD2', '4BD6', '4BD7', '4BD8', '4BDU', '4S0O', '4S0P', '4UF2', '4ZIE', '4ZIF', '4ZIG', '4ZIH', '4ZII', '5W5X', '5W5Z', '5W60', '5W61', '6EB6', '6L8V', '6L95', '6TRR', '6XY6', '7ADT']",29
BAZ1A,bromodomain adjacent to zinc finger domain 1A,11177.0,14:34752737-34875647,2,,14q13.2,yes,,"uterine carcinosarcoma, colon cancer",,,E,,TSG,D,,,,"ACF1,CCDS9651.1,ENSG00000198604.10,NM_013448.2,NP_038476,Q9NRL2,WALp1,WCRF180,hACF1",['5UIY'],1
BCL10,B-cell CLL/lymphoma 10,8915.0,1:85266248-85277090,1,Yes,1p22.3,yes,,MALT,,,L,Dom,"TSG, fusion",T,IGH,,,"CARMEN,CCDS704.1,CIPER,CLAP,ENSG00000142867.12,NM_003921.4,NP_003912,NP_001307644.1,O95999,c-E10,mE10","['2MB9', '6BZE', '6GK2', '8CZD', '8CZO']",5
BCL11A,B-cell CLL/lymphoma 11A,53335.0,2:60457192-60555154,1,Yes,2p16.1,yes,,B-CLL,,,L,Dom,"oncogene, fusion",T,IGH,,,"BCL11A-L,BCL11A-S,BCL11A-XL,CCDS1862.1,CTIP1,ENSG00000119866.21,EVI9,HBFQTL5,NM_022893.3,NP_075044,ZNF856","['5VTB', '6KI6', '6U9Q', '8DTN', '8DTU']",5
BCL11B,B-cell CLL/lymphoma 11B  (CTIP2),64919.0,14:99169287-99271228,1,Yes,14q32.2,yes,,T-ALL,,,L,Dom,"oncogene, TSG, fusion",T,TLX3,,,"CCDS9950.1,CTIP-2,CTIP2,ENSG00000127152.17,NM_138576.3,NP_612808,NP_001269166.1,Q9C0K0,ZNF856B,hRIT1-alpha",,0
BCL2,B-cell CLL/lymphoma 2,596.0,18:63123346-63320128,1,,18q21.33,yes,,"NHL, CLL",,,L,Dom,"oncogene, fusion",T,IGH,,,"Bcl-2,CCDS11981.1,ENSG00000171791.12,NM_000633.2,NP_000624,P10415,PPP1R50","['1G5M', '1GJH', '1YSW', '2O21', '2O22', '2O2F', '2W3L', '2XA0', '4AQ3', '4IEH', '4LVT', '4LXD', '4MAN', '5AGW', '5AGX', '5FCG', '5JSN', '5VAU', '5VAX', '5VAY', '6GL8', '6IWB', '6O0K', '6O0L', '6O0M', '6O0O', '6O0P', '7LHB', '7Y90', '7YA5', '8HLL', '8HLM', '8HLN', '8U27']",34
BCL2L12,BCL2 like 12,83596.0,19:49665142-49673915,2,,19q13.33,yes,,"melanoma, SCC",,,E,,oncogene,Mis,,,,"CCDS12776.1,ENSG00000126453.9,NM_138639.1,NP_619580,Q9HB09",,0
BCL3,B-cell CLL/lymphoma 3,602.0,19:44748547-44760044,1,,19q13.32,yes,,CLL,,,L,Dom,"oncogene, fusion",T,IGH,,,"BCL4,CCDS12642.2,D19S37,ENSG00000069399.14,NM_005178.4,NP_005169,P20749","['1K1A', '1K1B']",2
BCL6,B-cell CLL/lymphoma 6,604.0,3:187721377-187745727,1,,3q27.3,yes,,"NHL, CLL",,,L,Dom,"oncogene, fusion","T, Mis","IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3",,,"BCL5,BCL6A,CCDS3289.1,ENSG00000113916.17,LAZ3,NM_001706.4,NP_001697,P41182,ZBTB27,ZNF51","['1R28', '1R29', '1R2B', '2EN2', '2EOS', '2LCE', '2YRM', '3BIM', '3E4U', '3LBZ', '4CP3', '4U2M', '5H7G', '5H7H', '5MW2', '5MW6', '5MWD', '5N1X', '5N1Z', '5N20', '5N21', '5X4M', '5X4N', '5X4O', '5X4P', '5X4Q', '5X9O', '5X9P', '6C3L', '6C3N', '6CQ1', '6EW6', '6EW7', '6EW8', '6TBT', '6TCJ', '6TOF', '6TOG', '6TOH', '6TOI', '6TOJ', '6TOK', '6TOL', '6TOM', '6TON', '6TOO', '6XMX', '6XWF', '6XXS', '6XYX', '6XZZ', '6Y17', '6ZBU', '7BDE', '7LWE', '7LWF', '7LWG', '7LZQ', '7LZR', '7LZS', '7OKD', '7OKE', '7OKF', '7OKG', '7OKH', '7OKI', '7OKJ', '7OKK', '7OKL', '7OKM', '7Q7R', '7Q7S', '7Q7T', '7Q7U', '7Q7V', '7QK0', '7RUW', '7RUX', '7RUY', '7RUZ', '7RV0', '7RV1', '7RV2', '7RV3', '7RV4', '7RV5', '7RV6', '7RV7', '7RV8', '7RV9', '7T0S', '7T0T', '7T0U', '7ZWN', '7ZWO', '7ZWP', '7ZWQ', '7ZWR', '7ZWS', '7ZWT', '7ZWU', '7ZWV', '7ZWW', '7ZWX', '7ZWY', '7ZWZ', '8AS9', '8C78']",108
BCL7A,B-cell CLL/lymphoma 7A,605.0,12:122019422-122062044,1,,12q24.31,yes,,BNHL,,,L,Dom,fusion,T,MYC,,,"BCL7,CCDS9226.1,ENSG00000110987.8,NM_020993.4,NP_066273,Q4VC05",,0
BCL9,B-cell CLL/lymphoma 9,607.0,1:147541412-147626216,1,Yes,1q21.2,yes,,B-ALL,,,L,Dom,"oncogene, fusion",T,"IGH, IGL",,,"CCDS30833.1,ENSG00000116128.10,NM_004326.3,NP_004317,O00512","['2GL7', '2VP7', '2VPB', '2VPD', '2VPE', '2VPG', '3SL9']",7
BCL9L,B-cell CLL/lymphoma 9-like,283149.0,11:118893875-118910904,1,Yes,11q23.3,yes,,"colorectal cancer, endometrial carcinoma, gastric cancer",,,E,,"oncogene, TSG","Mis, F",,,,"CCDS8403.1,DLNB11,ENSG00000186174.12,NM_182557.2,NP_872363,Q86UU0","['2XB1', '4UP0', '4UP5']",3
BCLAF1,BCL2 associated transcription factor 1,9774.0,6:136256863-136289851,2,,6q23.3,yes,,"melanoma, SCC",,,E,,,Mis,,,,"BTF,CCDS5177.1,ENSG00000029363.16,KIAA0164,NM_014739.2,NP_055554,Q9NYF8","['7RJN', '7RJR']",2
BCOR,BCL6 corepressor,54880.0,X:40051248-40097403,1,Yes,Xp11.4,yes,,"retinoblastoma, AML, APL (translocation)",,,"L, M",Rec,"TSG, fusion","F, N, S, T",RARA,yes,Oculo-facio-cardio-dental genetic,"CCDS48093.1,ENSG00000183337.16,FLJ20285,KIAA1575,NM_001123385.1,NP_001116857,Q6W2J9","['2N1L', '3BIM', '4HPL', '6B7G', '8HCU']",5
BCORL1,BCL6 corepressor-like 1,63035.0,X:130005188-130058083,1,Yes,Xq26.1,yes,,"AML, HNSCC",,,"E, L",,"oncogene, TSG","Mis, N, F",,,,"CCDS14616.1,CXorf10,ENSG00000085185.15,FLJ11362,NM_021946.4,NP_068765,NP_001171701.1,Q5H9F3","['4HPM', '5JH5']",2
BCR,breakpoint cluster region,613.0,22:23180210-23318037,1,,22q11.23,yes,,"CML, ALL, AML",,,L,Dom,fusion,T,"ABL1,  FGFR1, JAK2",,,"ALL,BCR1,CCDS13806.1,CML,D22S11,D22S662,ENSG00000186716.20,NM_004327.3,NP_004318,P11274,PHL","['1K1F', '2AIN', '5N6R', '5N7E', '5OC7']",5
BIRC3,baculoviral IAP repeat-containing 3,330.0,11:102317495-102337734,1,Yes,11q22.2,yes,,"CLL, MALT, MCL, MM",,,L,Dom,"oncogene, TSG, fusion","D, F, N, T, Mis",MALT1,,,"API2,CCDS8315.1,ENSG00000023445.13,MALT2,MIHC,Q13489,RNF49,c-IAP2,cIAP2,hiap-1","['2UVL', '3EB5', '3EB6', '3M0A', '3M0D', '7NK0']",6
BIRC6,baculoviral IAP repeat containing 6,57448.0,2:32357028-32618899,2,,2p22.3,yes,,"melanoma, gastric adenocarcinoma, lung adenocarcinoma",,,E,,"oncogene, fusion","T, Mis",ALK,,,"BRUCE,CCDS33175.2,ENSG00000115760.13,NM_016252.3,NP_057336,Q9NR09","['3CEG', '8ATM', '8ATO', '8ATU', '8ATX', '8AUK', '8AUW', '8E2D', '8E2E', '8E2F', '8E2G', '8E2H', '8E2I', '8E2K']",14
BLM,Bloom Syndrome,641.0,15:90717327-90816165,1,Yes,15q26.1,,yes,,"leukaemia, lymphoma, skin squamous cell, other tumour types",Bloom syndrome,"L, E",Rec,TSG,"Mis, N, F",,,,"BS,CCDS10363.1,ENSG00000197299.10,NM_001287248.1,NP_001274175,NP_000048,NP_001274177.1,P54132,RECQ2,RECQL3","['2KV2', '2MH9', '2RRD', '3WE2', '3WE3', '4CDG', '4CGZ', '4O3M', '5LUP', '5MK5', '5U6K', '7AUC', '7AUD', '7XUW', '7XV0']",15
BMP5,bone morphogenetic protein 5,653.0,6:55753645-55875564,2,,6p12.1,yes,,melanoma,,,E,,,Mis,,,,"CCDS4958.1,ENSG00000112175.7,NM_021073.2,NP_066551,P22003",,0
BMPR1A,"bone morphogenetic protein receptor, type IA",657.0,10:86756650-86932838,1,Yes,10q23.2,,yes,,gastrointestinal polyps,juvenile polyposis,E,Rec,"oncogene, TSG","Mis, N, F",,,,"ACVRLK3,ALK3,CCDS7378.1,CD292,ENSG00000107779.13,NM_004329.2,NP_004320,P36894","['1ES7', '1REW', '2GOO', '2H62', '2H64', '2K3G', '2QJ9', '2QJA', '2QJB', '3NH7', '3QB4']",11
BRAF,v-raf murine sarcoma viral oncogene homolog B1,673.0,7:140730665-140924928,1,Yes,7q34,yes,,"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric",,,"E, O",Dom,"oncogene, fusion","Mis, T, O","AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP",yes,Cardio-facio-cutaneous syndrome,"BRAF1,CCDS5863.1,ENSG00000157764.13,NM_004333.4,NP_004324","['1UWH', '1UWJ', '2FB8', '2L05', '3C4C', '3D4Q', '3IDP', '3II5', '3NY5', '3OG7', '3PPJ', '3PPK', '3PRF', '3PRI', '3PSB', '3PSD', '3Q4C', '3Q96', '3SKC', '3TV4', '3TV6', '4CQE', '4DBN', '4E26', '4E4X', '4EHE', '4EHG', '4FC0', '4FK3', '4G9C', '4G9R', '4H58', '4JVG', '4KSP', '4KSQ', '4MBJ', '4MNE', '4MNF', '4PP7', '4R5Y', '4RZV', '4RZW', '4WO5', '4XV1', '4XV2', '4XV3', '4XV9', '4YHT', '5C9C', '5CSW', '5CSX', '5CT7', '5FD2', '5HI2', '5HID', '5HIE', '5ITA', '5J17', '5J18', '5J2R', '5JRQ', '5JSM', '5JT2', '5VAL', '5VAM', '5VR3', '5VYK', '6B8U', '6CAD', '6N0P', '6N0Q', '6NSQ', '6NYB', '6P3D', '6P7G', '6PP9', '6Q0J', '6Q0K', '6Q0T', '6U2G', '6U2H', '6UAN', '6UUO', '6V2U', '6V2W', '6V34', '6XAG', '6XFP', '6XLO', '7K0V', '7M0T', '7M0U', '7M0V', '7M0W', '7M0X', '7M0Y', '7M0Z', '7MFD', '7MFE', '7MFF', '7P3V', '7SHV', '7ZR0', '7ZR5', '7ZR6', '8C7X', '8C7Y', '8DGS', '8DGT', '8F7O', '8F7P']",111
BRCA1,familial breast/ovarian cancer gene 1,672.0,17:43044295-43125483,1,Yes,17q21.31,yes,yes,ovarian,"breast, ovarian",hereditary breast/ovarian cancer,E,Rec,TSG,"D, Mis, N, F, S",,,,"BRCC1,CCDS11456.2,ENSG00000012048.21,FANCS,NM_007300.3,NP_009231,P38398,PPP1R53,RNF53","['1JM7', '1JNX', '1N5O', '1OQA', '1T15', '1T29', '1T2U', '1T2V', '1Y98', '2ING', '3COJ', '3K0H', '3K0K', '3K15', '3K16', '3PXA', '3PXB', '3PXC', '3PXD', '3PXE', '4IFI', '4IGK', '4JLU', '4OFB', '4U4A', '4Y18', '4Y2G', '6G2I', '7JZV', '7LYB', '8GRQ']",31
